city,aqi,dominant_pollutant,pm25,pm10,no2,o3,co,so2,recorded_at,fetched_at,is_stale
Mumbai,160,pm25,160,105,2.3,11.5,2.5,11.9,2026-04-11 21:00:00,2026-04-11 21:43:05,False
Delhi,116,pm25,116,114,45.2,1.4,8.8,4.2,2026-04-11 21:00:00,2026-04-11 21:43:06,False
Pune,59,pm25,59,26,3.2,27.7,3.7,6.1,2021-01-01 02:00:00,2026-04-11 21:43:07,True
Chennai,57,pm25,57,27,4.9,6.8,4.5,2.3,2026-04-11 21:00:00,2026-04-11 21:43:08,False
Kolkata,103,pm25,103,62,30.6,3.8,10.5,8.0,2026-04-11 21:00:00,2026-04-11 21:43:09,False
Mumbai,153,pm25,153,92,2.0,11.5,2.0,11.9,2026-04-11 22:00:00,2026-04-11 22:05:05,False
Delhi,132,pm25,132,114,49.8,0.8,10.6,4.7,2026-04-11 22:00:00,2026-04-11 22:05:07,False
Pune,59,pm25,59,26,3.2,27.7,3.7,6.1,2021-01-01 02:00:00,2026-04-11 22:05:08,True
Chennai,55,pm25,55,26,5.1,6.6,4.0,2.5,2026-04-11 22:00:00,2026-04-11 22:05:09,False
Kolkata,103,pm25,103,62,30.6,3.8,10.5,8.0,2026-04-11 21:00:00,2026-04-11 22:05:10,False
Mumbai,82,pm25,82,48,2.3,11.6,2.4,11.9,2026-05-27 20:00:00,2026-05-27 20:57:57,False
Delhi,119,pm10,63,119,43.7,8.0,2.6,6.9,2026-05-27 20:00:00,2026-05-27 20:58:00,False
Pune,59,pm25,59,26,3.2,27.7,3.7,6.1,2021-01-01 02:00:00,2026-05-27 20:58:03,True
Chennai,72,pm25,72,44,5.2,11.9,9.7,2.2,2026-05-27 20:00:00,2026-05-27 20:58:06,False
Kolkata,65,pm25,65,46,9.0,11.3,2.6,1.1,2026-05-27 20:00:00,2026-05-27 20:58:08,False
Mumbai,118,pm25,118,65,2.4,11.7,2.6,11.9,2026-05-29 19:00:00,2026-05-29 20:00:50,False
Delhi,76,pm10,63,76,17.3,13.4,3.4,5.2,2026-05-29 19:00:00,2026-05-29 20:00:52,False
Pune,59,pm25,59,26,3.2,27.7,3.7,6.1,2021-01-01 02:00:00,2026-05-29 20:00:54,True
Chennai,78,pm25,78,50,5.0,12.8,8.8,2.2,2026-05-29 19:00:00,2026-05-29 20:00:56,False
Kolkata,46,pm25,46,24,11.1,6.3,4.9,3.0,2026-05-29 19:00:00,2026-05-29 20:01:01,False
Mumbai,123,pm25,123,66,2.4,11.6,2.8,11.9,2026-05-30 14:00:00,2026-05-30 14:22:44,False
Delhi,52,pm10,44,52,7.1,18.1,2.0,5.2,2026-05-30 14:00:00,2026-05-30 14:22:46,False
